==26010== Lackey, an example Valgrind tool
==26010== Copyright (C) 2002-2011, and GNU GPL'd, by Nicholas Nethercote.
==26010== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==26010== Command: ./exit
==26010== 
I  040016b0,3
I  040016b3,5
 S 7ff000548,8
I  04004fd0,1
 S 7ff000540,8
I  04004fd1,3
I  04004fd4,2
 S 7ff000538,8
I  04004fd6,2
 S 7ff000530,8
I  04004fd8,2
 S 7ff000528,8
I  04004fda,2
 S 7ff000520,8
I  04004fdc,1
 S 7ff000518,8
I  04004fdd,3
I  04004fe0,4
I  04004fe4,2
I  04004fe6,4
I  04004fea,2
I  04004fec,3
I  04004fef,7
I  04004ff6,7
 L 04222b80,8
I  04004ffd,7
 S 04222cd8,8
I  04005004,3
I  04005007,7
 L 04222fb8,8
I  0400500e,7
 S 042239d8,8
I  04005015,3
 L 04222e28,8
I  04005018,7
 S 042239e8,8
I  0400501f,3
I  04005022,6
I  04005028,5
I  0400502d,6
I  04005033,6
I  04005039,7
I  04005040,6
I  04005046,5
I  0400504b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a88,8
I  0400505f,4
I  04005063,5
 L 04222e38,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223ae0,8
I  0400505f,4
I  04005063,5
 L 04222e48,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223af0,8
I  0400505f,4
I  04005063,5
 L 04222e58,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a38,8
I  0400505f,4
I  04005063,5
 L 04222e68,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005073,3
I  04005076,3
I  04005079,4
I  0400507d,6
I  04005360,3
I  04005363,2
I  04005365,3
I  04005368,2
I  04005388,3
I  0400538b,3
I  0400538e,4
I  04005392,6
I  040054f8,3
I  040054fb,3
I  040054fe,4
I  04005502,6
I  04005508,6
I  0400550e,3
I  04005511,4
 S 04223c70,8
I  04005515,5
I  0400505f,4
I  04005063,5
 L 04222e78,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a40,8
I  0400505f,4
I  04005063,5
 L 04222e88,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a48,8
I  0400505f,4
I  04005063,5
 L 04222e98,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a68,8
I  0400505f,4
I  04005063,5
 L 04222ea8,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a70,8
I  0400505f,4
I  04005063,5
 L 04222eb8,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a30,8
I  0400505f,4
I  04005063,5
 L 04222ec8,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a28,8
I  0400505f,4
I  04005063,5
 L 04222ed8,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223ab8,8
I  0400505f,4
I  04005063,5
 L 04222ee8,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223ad0,8
I  0400505f,4
I  04005063,5
 L 04222ef8,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a50,8
I  0400505f,4
I  04005063,5
 L 04222f08,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a58,8
I  0400505f,4
I  04005063,5
 L 04222f18,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005050,7
I  04005057,8
 S 04223a60,8
I  0400505f,4
I  04005063,5
 L 04222f28,8
I  04005068,3
I  0400506b,2
I  0400506d,4
I  04005071,2
I  04005073,3
I  04005076,3
I  04005079,4
I  0400507d,6
I  04005083,3
I  04005086,3
I  04005089,7
I  04005090,8
 S 04223b40,8
I  04005098,4
I  0400509c,5
 L 04222f38,8
I  040050a1,3
I  040050a4,2
I  0400506d,4
I  04005071,2
I  04005073,3
I  04005076,3
I  04005079,4
I  0400507d,6
I  04005083,3
I  04005086,3
I  04005089,7
I  04005090,8
 S 04223b38,8
I  04005098,4
I  0400509c,5
 L 04222f48,8
I  040050a1,3
I  040050a4,2
I  0400506d,4
I  04005071,2
I  04005073,3
I  04005076,3
I  04005079,4
I  0400507d,6
I  04005083,3
I  04005086,3
I  04005089,7
I  04005090,8
 S 04223ba0,8
I  04005098,4
I  0400509c,5
 L 04222f58,8
I  040050a1,3
I  040050a4,2
I  0400506d,4
I  04005071,2
I  04005073,3
I  04005076,3
I  04005079,4
I  0400507d,6
I  04005083,3
I  04005086,3
I  04005089,7
I  04005090,8
 S 04223b58,8
I  04005098,4
I  0400509c,5
 L 04222f68,8
I  040050a1,3
I  040050a4,2
I  040050a6,7
 L 042239d8,8
I  040050ad,3
I  040050b0,6
I  040050b6,7
 L 04223a38,8
I  040050bd,3
I  040050c0,2
I  040050c2,4
 M 04222e60,8
I  040050c6,7
 L 04223a30,8
I  040050cd,3
I  040050d0,2
I  040050d2,4
 M 04222ec0,8
I  040050d6,7
 L 04223a40,8
I  040050dd,3
I  040050e0,2
I  040050e2,4
 M 04222e80,8
I  040050e6,7
 L 04223a48,8
I  040050ed,3
I  040050f0,2
I  040050f2,4
 M 04222e90,8
I  040050f6,7
 L 04223a50,8
I  040050fd,3
I  04005100,2
I  04005102,4
 M 04222f00,8
I  04005106,7
 L 04223ad0,8
I  0400510d,3
I  04005110,2
I  04005112,4
 M 04222ef0,8
I  04005116,7
 L 04223ba0,8
I  0400511d,3
I  04005120,2
I  04005122,4
 M 04222f50,8
I  04005126,7
 L 04223c70,8
I  0400512d,3
I  04005130,2
I  04005132,4
 M 04222e70,8
I  04005136,7
 L 04223ab8,8
I  0400513d,3
I  04005140,2
I  04005142,5
 L 04222ee0,8
I  04005147,6
I  0400514d,7
 L 04223a50,8
I  04005154,3
I  04005157,2
I  04005159,7
 L 04223a60,8
I  04005160,5
 L 04222f20,8
I  04005165,6
I  0400516b,7
 L 04223b48,8
I  04005172,3
I  04005175,2
I  04005185,7
 L 04223b08,8
I  0400518c,3
I  0400518f,2
I  0400519f,8
 L 04223b00,8
I  040051a7,6
I  040051ad,8
 L 04223a90,8
I  040051b5,6
I  040051bb,7
 L 042239d8,8
I  040051c2,3
I  040051c5,6
I  040053b0,3
I  040053b3,6
I  040053b9,7
 L 04223b58,8
I  040053c0,4
 L 04222f00,8
I  040053c4,7
 L 04223a58,8
I  040053cb,3
I  040053ce,4
 L 04222f10,8
I  040053d2,6
I  040053d8,3
I  040053db,10
I  040053e5,3
I  040053e8,4
 L 04222f60,8
I  040053ec,4
I  040053f0,4
I  040053f4,3
I  040053f7,4
I  040053fb,3
I  040053fe,2
I  04005400,7
 L 04223ad0,8
I  04005407,4
 L 04222ef0,8
I  0400540b,6
I  04005411,7
 L 04223a28,8
I  04005418,4
I  0400541c,4
 L 04222ed0,8
I  04005420,7
 L 04223a48,8
I  04005427,4
 L 04222e90,8
I  0400542b,4
I  0400542f,4
I  04005433,3
I  04005436,2
I  04005438,4
 L 04000870,4
I  0400543c,3
 L 04000868,8
I  0400543f,6
I  04005445,3
I  04005448,5
I  0400544d,2
I  04005462,3
I  04005465,4
 L 04000878,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222b70,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000880,8
I  04005458,4
 L 04000888,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000890,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222b80,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000898,8
I  04005458,4
 L 040008a0,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 040008a8,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c58,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 040008b0,8
I  04005458,4
 L 040008b8,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 040008c0,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c60,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 040008c8,8
I  04005458,4
 L 040008d0,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 040008d8,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c68,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 040008e0,8
I  04005458,4
 L 040008e8,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 040008f0,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c70,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 040008f8,8
I  04005458,4
 L 04000900,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000908,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c78,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000910,8
I  04005458,4
 L 04000918,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000920,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c80,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000928,8
I  04005458,4
 L 04000930,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000938,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c88,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000940,8
I  04005458,4
 L 04000948,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000950,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c90,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000958,8
I  04005458,4
 L 04000960,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000968,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222c98,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000970,8
I  04005458,4
 L 04000978,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000980,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222ca0,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 04000988,8
I  04005458,4
 L 04000990,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 04000998,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222fb8,8
I  04005473,2
I  04005450,3
I  04005453,5
 L 040009a0,8
I  04005458,4
 L 040009a8,4
I  0400545c,6
I  04005462,3
I  04005465,4
 L 040009b0,8
I  04005469,4
I  0400546d,3
I  04005470,3
 S 04222fc0,8
I  04005473,2
I  04005475,8
 L 04223ba0,8
I  0400547d,6
I  04005483,3
I  04005486,7
I  0400548d,6
I  04005493,5
I  04005498,4
 L 040009c0,8
I  0400549c,4
 L 040009b8,8
I  040054a0,3
I  040054a3,4
I  040054a7,6
I  040054ad,4
I  040054b1,4
I  040054b5,4
I  040054b9,2
I  040054bb,3
I  040054be,2
I  040054c0,5
 L 0400045c,1
I  040054c5,4
 L 04000460,8
I  040054c9,7
 L 042239d8,8
I  040054d0,3
I  040054d3,3
I  040054d6,6
I  040054dc,4
I  040054e0,3
I  040054e3,4
I  040054e7,2
I  040054e9,4
 L 0401aedc,4
I  040054ed,3
I  040054f0,2
I  0400555b,4
 L 040009c8,8
I  0400555f,4
I  04005563,3
I  04005566,3
 S 04222fc8,8
I  04005569,6
I  04005498,4
 L 040009d8,8
I  0400549c,4
 L 040009d0,8
I  040054a0,3
I  040054a3,4
I  040054a7,6
I  040054ad,4
I  040054b1,4
I  040054b5,4
I  040054b9,2
I  040054bb,3
I  040054be,2
I  040054c0,5
 L 04000414,1
I  040054c5,4
 L 04000418,8
I  040054c9,7
 L 042239d8,8
I  040054d0,3
I  040054d3,3
I  040054d6,6
I  040054dc,4
I  040054e0,3
I  040054e3,4
I  040054e7,2
I  040054e9,4
 L 0401aedc,4
I  040054ed,3
I  040054f0,2
I  0400555b,4
 L 040009e0,8
I  0400555f,4
I  04005563,3
I  04005566,3
 S 04222fd0,8
I  04005569,6
I  04005498,4
 L 040009f0,8
I  0400549c,4
 L 040009e8,8
I  040054a0,3
I  040054a3,4
I  040054a7,6
I  040054ad,4
I  040054b1,4
I  040054b5,4
I  040054b9,2
I  040054bb,3
I  040054be,2
I  040054c0,5
 L 0400048c,1
I  040054c5,4
 L 04000490,8
I  040054c9,7
 L 042239d8,8
I  040054d0,3
I  040054d3,3
I  040054d6,6
I  040054dc,4
I  040054e0,3
I  040054e3,4
I  040054e7,2
I  040054e9,4
 L 0401aee0,4
I  040054ed,3
I  040054f0,2
I  0400555b,4
 L 040009f8,8
